Ludnosc wedlug plci i wojewodztw - stan w dniu 31.12.2022 roku;;;;;;;;;
;;;;;;;;;
zrodlo: Glowny Urzad Statystyczny;;;;;;;;;
;;;;;;;;;
Wojewodztwo;Ogolem;Mezczyzni;Kobiety;Razem_Miasto;Mezczyzni_miasto;Kobiety_miasto;Razem_wies;Mezczyzni_wies;Kobiety_wies
POLSKA;37766327;18249321;19517006;22489926;10630651;11859275;15276401;7618670;7657731
Dolnoslaskie;2888033;1388123;1499910;1950542;921111;1029431;937491;467012;470479
Kujawsko-pomorskie;2006876;971048;1035828;1166346;549425;616921;840530;421623;418907
Lubelskie;2024637;980169;1044468;935128;438208;496920;1089509;541961;547548
Lubuskie;979976;475717;504259;629692;299949;329743;350284;175768;174516
lodzkie;2378483;1133290;1245193;1468809;681717;787092;909674;451573;458101
Malopolskie;3429014;1663091;1765923;1640055;774290;865765;1788959;888801;900158
Mazowieckie;5510612;2638241;2872371;3562901;1667392;1895509;1947711;970849;976862
Opolskie;942441;455521;486920;498469;236173;262296;443972;219348;224624
Podkarpackie;2079098;1017624;1061474;854227;407799;446428;1224871;609825;615046
Podlaskie;1143355;556184;587171;695787;330123;365664;447568;226061;221507
Pomorskie;2358307;1145637;1212670;1475748;701904;773844;882559;443733;438826
slaskie;4346702;2090906;2255796;3298780;1575737;1723043;1047922;515169;532753
swietokrzyskie;1178164;573286;604878;528199;248989;279210;649965;324297;325668
Warminsko-mazurskie;1366430;667043;699387;806321;382977;423344;560109;284066;276043
Wielkopolskie;3493577;1697252;1796325;1861954;882867;979087;1631623;814385;817238
Zachodniopomorskie;1640622;796189;844433;1116968;531990;584978;523654;264199;259455
